dataset,algorithm,clients,capacity,routes_used,total_length,valid,time_ms
A-n32-k5,cw,31,100,5,843.688,YES,0.043042
A-n32-k5,cw2opt,31,100,5,830.673,YES,0.02975
A-n32-k5,hybrid,31,100,5,828.7,YES,0.48025
A-n32-k5,nn,31,100,5,1146.4,YES,0.010875
A-n32-k5,sa,31,100,5,830.673,YES,0.543125
A-n32-k5,ts,31,100,5,828.702,YES,0.861083
A-n33-k5,cw,32,100,5,693.74,YES,0.027709
A-n33-k5,cw2opt,32,100,5,691.339,YES,0.027167
A-n33-k5,hybrid,32,100,5,676.104,YES,0.421125
A-n33-k5,nn,32,100,5,978.146,YES,0.005458
A-n33-k5,sa,32,100,5,691.339,YES,0.410416
A-n33-k5,ts,32,100,5,676.104,YES,0.731833
A-n33-k6,cw,32,100,7,776.256,YES,0.027042
A-n33-k6,cw2opt,32,100,7,776.018,YES,0.035667
A-n33-k6,hybrid,32,100,7,776.018,YES,0.414417
A-n33-k6,nn,32,100,6,1043.27,YES,0.005917
A-n33-k6,sa,32,100,7,776.018,YES,0.396834
A-n33-k6,ts,32,100,6,777.003,YES,0.686458
A-n34-k5,cw,33,100,5,807.313,YES,0.03675
A-n34-k5,cw2opt,33,100,5,792.724,YES,0.030792
A-n34-k5,hybrid,33,100,5,792.724,YES,0.414291
A-n34-k5,nn,33,100,5,946.799,YES,0.00525
A-n34-k5,sa,33,100,5,792.724,YES,0.387584
A-n34-k5,ts,33,100,5,792.724,YES,0.682875
A-n36-k5,cw,35,100,5,830.892,YES,0.035959
A-n36-k5,cw2opt,35,100,5,828.472,YES,0.03675
A-n36-k5,hybrid,35,100,5,828.472,YES,0.457334
A-n36-k5,nn,35,100,5,1103.5,YES,0.005958
A-n36-k5,sa,35,100,5,828.472,YES,0.435667
A-n36-k5,ts,35,100,5,806.783,YES,0.652209
A-n37-k5,cw,36,100,5,705.168,YES,0.038542
A-n37-k5,cw2opt,36,100,5,705.168,YES,0.036209
A-n37-k5,hybrid,36,100,5,682.333,YES,0.501166
A-n37-k5,nn,36,100,5,948.545,YES,0.006083
A-n37-k5,sa,36,100,5,705.168,YES,0.42825
A-n37-k5,ts,36,100,5,682.333,YES,0.743625
A-n37-k6,cw,36,100,6,979.654,YES,0.038167
A-n37-k6,cw2opt,36,100,6,979.654,YES,0.036334
A-n37-k6,hybrid,36,100,6,973.752,YES,0.428334
A-n37-k6,nn,36,100,6,1341.88,YES,0.007166
A-n37-k6,sa,36,100,6,979.654,YES,0.451417
A-n37-k6,ts,36,100,6,973.752,YES,0.624042
A-n38-k5,cw,37,100,6,794.666,YES,0.03675
A-n38-k5,cw2opt,37,100,6,766.225,YES,0.037667
A-n38-k5,hybrid,37,100,6,765.865,YES,0.4455
A-n38-k5,nn,37,100,5,1084.61,YES,0.007417
A-n38-k5,sa,37,100,6,766.225,YES,0.406542
A-n38-k5,ts,37,100,6,766.225,YES,0.981625
A-n39-k5,cw,38,100,5,901.99,YES,0.03775
A-n39-k5,cw2opt,38,100,5,901.99,YES,0.039084
A-n39-k5,hybrid,38,100,5,881.229,YES,0.452458
A-n39-k5,nn,38,100,5,1032.57,YES,0.006792
A-n39-k5,sa,38,100,5,901.99,YES,0.42925
A-n39-k5,ts,38,100,5,882.011,YES,0.710917
A-n39-k6,cw,38,100,6,882.584,YES,0.035334
A-n39-k6,cw2opt,38,100,6,878.404,YES,0.039084
A-n39-k6,hybrid,38,100,6,856.929,YES,0.504459
A-n39-k6,nn,38,100,6,1212.89,YES,0.007667
A-n39-k6,sa,38,100,6,874.669,YES,0.435416
A-n39-k6,ts,38,100,6,863.066,YES,0.8505
A-n44-k6,cw,43,100,6,1020.88,YES,0.046167
A-n44-k6,cw2opt,43,100,6,1020.18,YES,0.047708
A-n44-k6,hybrid,43,100,6,1018.77,YES,0.46375
A-n44-k6,nn,43,100,6,1328.69,YES,0.008542
A-n44-k6,sa,43,100,6,1020.18,YES,0.45025
A-n44-k6,ts,43,100,6,974.743,YES,0.99725
A-n45-k6,cw,44,100,7,1012.92,YES,0.050458
A-n45-k6,cw2opt,44,100,7,1002.64,YES,0.048167
A-n45-k6,hybrid,44,100,7,971.994,YES,0.574625
A-n45-k6,nn,44,100,7,1485.3,YES,0.008333
A-n45-k6,sa,44,100,7,1002.64,YES,0.526375
A-n45-k6,ts,44,100,7,986.474,YES,1.09775
A-n45-k7,cw,44,100,7,1199.98,YES,0.049334
A-n45-k7,cw2opt,44,100,7,1198.12,YES,0.048209
A-n45-k7,hybrid,44,100,7,1190.99,YES,0.519708
A-n45-k7,nn,44,100,7,1404.05,YES,0.008875
A-n45-k7,sa,44,100,7,1198.12,YES,0.49925
A-n45-k7,ts,44,100,7,1190.99,YES,1.24871
A-n46-k7,cw,45,100,7,939.744,YES,0.054458
A-n46-k7,cw2opt,45,100,7,939.543,YES,0.052917
A-n46-k7,hybrid,45,100,7,923.955,YES,0.545834
A-n46-k7,nn,45,100,7,1335.79,YES,0.008459
A-n46-k7,sa,45,100,7,932.235,YES,0.54125
A-n46-k7,ts,45,100,7,926.214,YES,0.940333
A-n48-k7,cw,47,100,7,1114.86,YES,0.060458
A-n48-k7,cw2opt,47,100,7,1103.18,YES,0.056625
A-n48-k7,hybrid,47,100,7,1103.18,YES,0.509208
A-n48-k7,nn,47,100,7,1476.57,YES,0.009291
A-n48-k7,sa,47,100,7,1103.18,YES,0.487625
A-n48-k7,ts,47,100,7,1098.87,YES,1.17829
A-n53-k7,cw,52,100,8,1092.88,YES,0.068625
A-n53-k7,cw2opt,52,100,8,1088.14,YES,0.06775
A-n53-k7,hybrid,52,100,8,1087.39,YES,0.614
A-n53-k7,nn,52,100,7,1449.54,YES,0.010459
A-n53-k7,sa,52,100,8,1088.14,YES,0.573167
A-n53-k7,ts,52,100,8,1074.35,YES,1.72575
A-n54-k7,cw,53,100,7,1201.62,YES,0.067959
A-n54-k7,cw2opt,53,100,7,1186.71,YES,0.072084
A-n54-k7,hybrid,53,100,7,1185.61,YES,0.613834
A-n54-k7,nn,53,100,7,1433.64,YES,0.013375
A-n54-k7,sa,53,100,7,1186.71,YES,0.487542
A-n54-k7,ts,53,100,7,1185.61,YES,1.50454
A-n55-k9,cw,54,100,9,1110.57,YES,0.073583
A-n55-k9,cw2opt,54,100,9,1107.49,YES,0.074334
A-n55-k9,hybrid,54,100,9,1107.49,YES,0.589959
A-n55-k9,nn,54,100,9,1499.31,YES,0.011125
A-n55-k9,sa,54,100,9,1107.49,YES,0.60425
A-n55-k9,ts,54,100,9,1093.36,YES,2.14438
A-n60-k9,cw,59,100,9,1377.28,YES,0.090042
A-n60-k9,cw2opt,59,100,9,1368.31,YES,0.089083
A-n60-k9,hybrid,59,100,9,1366.87,YES,0.682875
A-n60-k9,nn,59,100,9,1969.98,YES,0.015834
A-n60-k9,sa,59,100,9,1368.31,YES,0.60725
A-n60-k9,ts,59,100,9,1367.63,YES,2.2465
A-n61-k9,cw,60,100,10,1103.09,YES,0.091375
A-n61-k9,cw2opt,60,100,10,1091.57,YES,0.112875
A-n61-k9,hybrid,60,100,10,1091.57,YES,0.703583
A-n61-k9,nn,60,100,9,1421.16,YES,0.01325
A-n61-k9,sa,60,100,10,1091.57,YES,0.667625
A-n61-k9,ts,60,100,10,1091.57,YES,2.05042
A-n62-k8,cw,61,100,8,1352.81,YES,0.094
A-n62-k8,cw2opt,61,100,8,1348.53,YES,0.088708
A-n62-k8,hybrid,61,100,8,1347.71,YES,0.623333
A-n62-k8,nn,61,100,8,1816.58,YES,0.012834
A-n62-k8,sa,61,100,8,1348.53,YES,0.605
A-n62-k8,ts,61,100,8,1347.71,YES,1.75633
A-n63-k10,cw,62,100,10,1358.9,YES,0.104916
A-n63-k10,cw2opt,62,100,10,1344.77,YES,0.105916
A-n63-k10,hybrid,62,100,10,1341.77,YES,0.7695
A-n63-k10,nn,62,100,10,1933.26,YES,0.014
A-n63-k10,sa,62,100,10,1344.77,YES,0.620583
A-n63-k10,ts,62,100,10,1342.79,YES,2.40021
A-n63-k9,cw,62,100,10,1690.82,YES,0.098
A-n63-k9,cw2opt,62,100,10,1685.7,YES,0.095875
A-n63-k9,hybrid,62,100,10,1664.49,YES,0.702333
A-n63-k9,nn,62,100,9,2248.57,YES,0.0135
