algorithm|data_type,size,time_sec,comparisons,pointer_swaps
insertion_sort|random,100,0.000045,2645,282
insertion_sort|random,200,0.000086,10515,567
insertion_sort|random,400,0.000383,42157,1119
insertion_sort|random,800,0.001026,161361,2301
insertion_sort|random,1600,0.002714,672461,4614
insertion_sort|random,3200,0.010485,2621724,9177
insertion_sort|random,6400,0.042159,10454326,18435
insertion_sort|sorted,100,0.000012,3090,216
insertion_sort|sorted,200,0.000045,11164,504
insertion_sort|sorted,400,0.000168,42960,1080
insertion_sort|sorted,800,0.000669,169670,2235
insertion_sort|sorted,1600,0.002678,670165,4542
insertion_sort|sorted,3200,0.010720,2676950,9156
insertion_sort|sorted,6400,0.041796,10665930,18387
insertion_sort|reverse,100,0.000011,2172,288
insertion_sort|reverse,200,0.000041,9768,576
insertion_sort|reverse,400,0.000161,40464,1152
insertion_sort|reverse,800,0.000658,163354,2307
insertion_sort|reverse,1600,0.002639,660521,4614
insertion_sort|reverse,3200,0.010435,2642902,9228
insertion_sort|reverse,6400,0.043436,10607646,18459
insertion_sort|nearly_sorted,100,0.000012,3087,225
insertion_sort|nearly_sorted,200,0.000043,11156,507
insertion_sort|nearly_sorted,400,0.000166,42937,1086
insertion_sort|nearly_sorted,800,0.000669,169623,2238
insertion_sort|nearly_sorted,1600,0.002648,670055,4545
insertion_sort|nearly_sorted,3200,0.010501,2676752,9165
insertion_sort|nearly_sorted,6400,0.042743,10665532,18393
merge_sort|random,100,0.000004,540,639
merge_sort|random,200,0.000010,1276,1475
merge_sort|random,400,0.000021,2943,3342
merge_sort|random,800,0.000052,6661,7460
merge_sort|random,1600,0.000112,14938,16537
merge_sort|random,3200,0.000230,33052,36251
merge_sort|random,6400,0.000474,72349,78748
merge_sort|sorted,100,0.000004,499,598
merge_sort|sorted,200,0.000007,1176,1375
merge_sort|sorted,400,0.000016,2728,3127
merge_sort|sorted,800,0.000037,6245,7044
merge_sort|sorted,1600,0.000078,14030,15629
merge_sort|sorted,3200,0.000158,31195,34394
merge_sort|sorted,6400,0.000339,68658,75057
merge_sort|reverse,100,0.000003,463,562
merge_sort|reverse,200,0.000007,1118,1317
merge_sort|reverse,400,0.000015,2616,3015
merge_sort|reverse,800,0.000038,6002,6801
merge_sort|reverse,1600,0.000076,13548,15147
merge_sort|reverse,3200,0.000160,30247,33446
merge_sort|reverse,6400,0.000352,66758,73157
merge_sort|nearly_sorted,100,0.000005,502,601
merge_sort|nearly_sorted,200,0.000007,1181,1380
merge_sort|nearly_sorted,400,0.000016,2738,3137
merge_sort|nearly_sorted,800,0.000037,6255,7054
merge_sort|nearly_sorted,1600,0.000076,14061,15660
merge_sort|nearly_sorted,3200,0.000164,31269,34468
merge_sort|nearly_sorted,6400,0.000339,68807,75206
